"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Abiliano de Lima Silveira","UFVRSPA046614-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/12/2019","1.00","1","0","N/I","3° 45' 34,621"" S","49° 48' 24,232"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Abineia Lopes Palheta","UFVRSPA039224-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/12/2017","1.00","1","0","N/I","1°41'1,572""S","52°38'48,948""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abraao do Espirito Santos Vieira","UFVRSPA039268-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/01/2018","1.00","1","0","N/I","1°52'23,412""S","52°38'37,572""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abranjo I","PCHPHRS030400-0","RS","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","01/05/2014","4,860.00","4860","2260","Não","-1","-1","17-11-2010","17-11-2040","100% para Abranjo Geração de Energia S.A (PIE)","","Encruzilhada do Sul - RS"
"AC III","UFVRSMG037403-2","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","34,000.00","0","0","Não","15° 21' 32,690"" S","43° 48' 25,890"" W","09-08-2019","09-08-2054","100% para AURORA ENERGIAS RENOVÁVEIS IV S/A (PIE)","","Jaíba - MG"
"AC IV","UFVRSMG037404-0","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15° 21' 54,430"" S","43° 47' 40,380"" W","09-08-2019","09-08-2054","100% para AURORA ENERGIAS RENOVÁVEIS IV S/A (PIE)","","Jaíba - MG"
"AC IX","UFVRSMG037550-0","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15° 24' 0,860"" S","43° 48' 1,010"" W","28-03-2019","29-03-2054","100% para AURORA ENERGIAS RENOVÁVEIS II LTDA (PIE)","","Jaíba - MG"
"AC V","UFVRSMG037390-7","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15° 22' 30,280"" S","43° 47' 12,630"" W","09-08-2019","09-08-2054","100% para AURORA ENERGIAS RENOVÁVEIS IV S/A (PIE)","","Jaíba - MG"
"AC VI","UFVRSMG037405-9","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","38,000.00","0","0","Não","15° 22' 48,790"" S","43° 48' 25,890"" W","09-08-2019","09-08-2054","100% para AURORA ENERGIAS RENOVÁVEIS IV S/A (PIE)","","Jaíba - MG"
"AC VII","UFVRSMG037548-9","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15° 23' 16,910"" S","43° 47' 21,000"" W","28-02-2019","28-02-2054","100% para AURORA ENERGIAS RENOVÁVEIS III LTDA (PIE)","","Jaíba - MG"
"AC VIII","UFVRSMG037549-7","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15° 23' 27,100"" S","43° 48' 17,440"" W","28-02-2019","28-02-2054","100% para AURORA ENERGIAS RENOVÁVEIS III LTDA (PIE)","","Jaíba - MG"
"AC X","UFVRSMG037551-9","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15° 23' 47,470"" S","43° 48' 12,170"" W","28-03-2019","28-03-2054","100% para AURORA ENERGIAS RENOVÁVEIS II LTDA (PIE)","","Jaíba - MG"
"AC XIX","UFVRSMG037630-2","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","34,000.00","0","0","Não","15°23'51,61""S","43°50'54,49""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XV","UFVRSMG037626-4","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","50,000.00","0","0","Não","15°23'53,15""S","43°49'50,38""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XVI","UFVRSMG037627-2","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15°24'9,67""S","43°49'2,46""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XVII","UFVRSMG037628-0","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","50,000.00","0","0","Não","15°24'29,42""S","43°49'8,94""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XVIII","UFVRSMG037629-9","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15°24'47,39""S","43°47'23,96""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XX","UFVRSMG037631-0","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","32,000.00","0","0","Não","15°25'31,77""S","43°49'4,83""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XXI","UFVRSMG037632-9","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15°25'45,24""S","43°48'13,21""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XXII","UFVRSMG037633-7","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","40,000.00","0","0","Não","15°25'46,77""S","43°47'24,11""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"AC XXIII","UFVRSMG037634-5","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","42,000.00","0","0","Não","15°26'15,59""S","43°47'19,79""W","17-12-2019","17-12-2054","100% para AURORA ENERGIAS RENOVÁVEIS V S/A (PIE)","","Jaíba - MG"
"Acácia","EOLCVBA031418-8","BA","EOL","Construção","Eólica","Cinética do vento","Autorização","Cinética do vento","-","16,200.00","0","6900","Não","13°54'56,16""S","42°41'51,99""W","25-03-2014","25-03-2049","100% para CENTRAIS EOLICAS ACACIA S.A. (PIE)","","Igaporã - BA"
"Acacio Azevedo de Sousa","UFVRSPA045619-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/09/2019","1.00","1","0","N/I","4° 1' 17,148"" S","49° 54' 54,403"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Acauã","EOLCVBA031433-1","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/11/2019","6,000.00","6000","3100","Não","14° 24' 45,992"" S","42° 39' 35,791"" W","11-04-2014","11-04-2049","100% para Acauã Energia S.A (PIE)","","Pindaí - BA"
"Acauã I","EOLCVRN033597-5","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","25,200.00","0","0","Não","6° 5' 7,235"" S","36° 40' 2,129"" W","04-05-2020","04-05-2055","100% para CENTRAL EÓLICA ACAUÃ I S.A. (PIE)","","Santana do Matos - RN"
"Acauã II","EOLCVRN033598-3","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","21,000.00","0","0","Não","6° 4' 44,269"" S","36° 40' 26,479"" W","04-05-2020","04-05-2055","100% para CENTRAL EÓLICA ACAUÃ I S.A. (PIE)","","Santana do Matos - RN"
"Acauã III","EOLCVRN033864-8","RN","EOL","Construção não iniciada","Eólica","Cinética do vento","Autorização","Cinética do vento","-","16,800.00","0","0","Não","6° 5' 51,187"" S","36° 37' 45,795"" W","18-02-2020","18-02-2055","100% para CENTRAL EOLICA ACAUA III S.A. (PIE)","","Lagoa Nova - RN, Santana do Matos - RN, São Vicente - RN"
"ACDA","UTEPEAC030904-4","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","03/07/2012","694.00","694","0","Não","9° 58' 2,000"" S","67° 48' 3,000"" W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"Acearia Frederico Missner (Antiga Rio Luiz Alves)","CGHPHSC030419-0","SC","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/11/1975","412.50","412.5","0","Não","26°43'16,177""S","48°54'0,049""W","","","100% para Acearia Frederico Missner S.A (REG)","83 - Itajai","Luiz Alves - SC"
"Aceel Gil de Freitas","UFVRSPA042942-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","09/11/2018","1.00","1","0","N/I","1° 38' 56,832"" S","52° 17' 5,532"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Acenildo Castro de Lima","UFVRSPA039798-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","12/02/2018","1.00","1","0","N/I","2° 14' 33,864"" S","52° 51' 14,760"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Acivaldo Souza Peixoto","UFVRSPA042943-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/10/2018","1.00","1","0","N/I","1° 52' 56,377"" S","52° 29' 42,968"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Açominas","UTECMMG000019-1","MG","UTE","Operação","Fóssil","Carvão mineral","Autorização","Gás de Alto Forno - CM","01/08/2002","102,890.00","102890","0","Sim","20° 31' 28,77600""W","43° 40' 31,22400""S","30-07-1999","30-07-2029","100% para GERDAU AÇOMINAS S/A (APE)","","Ouro Branco - MG"
"Açungui 2E","PCHPHPR035550-0","PR","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","5,940.00","0","0","Não","25°8'17,63""S","49°34'32,73""W","19-08-2019","19-08-2054","100% para TRANSLEAD EMPREENDIMENTOS E INCORPORAÇÕES LTDA (PIE)","81 - Ribeira do Iguape","Campo Largo - PR"
"Açungui 2F","PCHPHPR036917-9","PR","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","9,900.00","0","0","Não","25°9'25,45""S","49°33'35,72""W","24-07-2020","24-07-2055","100% para TRANSLEAD EMPREENDIMENTOS E INCORPORAÇÕES LTDA (PIE)","81 - Ribeira do Iguape","Campo Largo - PR, Campo Magro - PR, Itaperuçu - PR"
"Adail da Silva Batista","UFVRSPA038741-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/11/2017","1.00","1","0","N/I","1°54'17,136""S","53°0'46,08""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adaildo Dos Santos Brito","UFVRSPA038811-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/11/2017","1.00","1","0","N/I","1°43'51,708""S","52°54'20,16""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adailson Castro Benaium","UFVRSPA042970-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/10/2018","1.00","1","0","N/I","2° 0' 32,400"" S","52° 38' 35,160"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adailson Dos Santos Moura","UFVRSPA045393-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/08/2019","1.00","1","0","N/I","3° 44' 56,360"" S","49° 49' 10,384"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adailto Moraes de Lima","UFVRSPA038626-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/11/2017","1.00","1","0","N/I","2°1'15,024""S","53°8'54,996""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adailton Pantoja Ferreira","UFVRSPA040252-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","13/03/2018","1.00","1","0","N/I","2°7'35,94""S","52°32'30,84""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adailton Pereira da Silva","UFVRSPA045585-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/09/2019","1.00","1","0","N/I","3° 51' 26,395"" S","49° 51' 16,207"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adailton Werlen Aragao Pereira","UFVRSPA045993-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/09/2019","1.00","1","0","N/I","3° 52' 13,296"" S","49° 43' 50,153"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adalberto Batista Barbosa","UFVRSPA039341-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","11/01/2018","1.00","1","0","N/I","1°50'41,424""S","52°41'51,72""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adalberto de Oliveira Nobre","UFVRSPA038605-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/11/2017","1.00","1","0","N/I","2°3'19,404""S","53°11'43,332""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adalberto de Souza Guerra","UFVRSPA040452-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/03/2018","1.00","1","0","N/I","2°20'17,448""S","52°9'45,72""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adalberto Patricio de Gouveia Sousa","UFVRSPA045236-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/08/2019","1.00","1","0","N/I","3° 47' 5,205"" S","49° 45' 43,664"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adalice Brito Rodrigues","UFVRSPA046176-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/10/2019","1.00","1","0","N/I","3° 59' 55,871"" S","49° 41' 43,073"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adamilson Froes de Lima","UFVRSPA040053-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/02/2018","1.00","1","0","N/I","1°54'28,152""S","52°34'29,496""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adamir Castro de Lima","UFVRSPA039982-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/01/2018","1.00","1","0","N/I","1° 53' 39,300"" S","52° 45' 22,680"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adamir Filho da Costa Lima","UFVRSPA040308-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/03/2018","1.00","1","0","N/I","2°17'48,372""S","52°46'42,744""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adamor Ferreira Felix da Silva","UFVRSPA040398-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/03/2018","1.00","1","0","N/I","2°20'9,463""S","52°55'6,323""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adamor Ferro Machado","UFVRSPA040309-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/03/2018","1.00","1","0","N/I","2°7'33,384""S","52°25'59,628""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adanil Froes de Lima","UFVRSPA040077-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/02/2018","1.00","1","0","N/I","1°54'28,764""S","52°34'29,136""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adao Ferreira de Souza","UFVRSPA039590-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/03/2018","1.00","1","0","N/I","2° 1' 42,240"" S","52° 15' 30,384"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adao Froes de Lima","UFVRSPA040155-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","06/02/2018","1.00","1","0","N/I","2°7'40,476""S","52°45'38,7""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"ADAS - Hospital e Maternidade São Domingos","UTEPEMG031468-4","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/03/2014","440.00","440","0","Não","19°34'51,348""S","47°58'37,776""W","","","100% para ADAS - Associação Dominicana de Assistência a Saúde (REG)","","Uberaba - MG"
"Adelar Piaia","UTEAIRS035793-6","RS","UTE","Operação","Biomassa","Agroindustriais","Registro","Biogás-AGR","06/06/2014","100.00","100","0","Não","27°26'38,6""S","53°54'50,7""W","","","100% para Adelar Piaia (REG)","","Três Passos - RS"
"Adelina Gouveia da Silva","UFVRSPA040375-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/03/2018","1.00","1","0","N/I","2°4'4,332""S","52°17'25,764""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
